Brand	                Button Combo
Google / Pixel	        Volume Down + Power
OnePlus	                Volume Up + Power
Xiaomi / Redmi	        Volume Down + Power
Samsung	                Volume Down + Bixby + Power (or Download Mode)
Huawei / Honor	        Volume Up + Power
LG	                    Volume Down + Power
Motorola / Moto	        Volume Down + Power
Sony Xperia	            Volume Down + Power
Oppo / Realme	        Volume Down + Power
Vivo	                Volume Down + Power
Asus	                Volume Down + Power
Nokia	                Volume Down + Power
Lenovo	                Volume Down + Power
ZTE	                    Volume Down + Power
Alcatel	                Volume Down + Power
HTC	                    Volume Down + Power
Meizu	                Volume Down + Power
BlackBerry	            Volume Down + Power
Panasonic	            Volume Down + Power
Sharp	                Volume Down + Power
Micromax	            Volume Down + Power
Tecno	                Volume Down + Power
Infinix	                Volume Down + Power
Itel	                Volume Down + Power

Apple iPhone (iPhone 8 / X / 11 / 12 / 13 / 14 / 15)   Volume Up + Volume Down + Side Button (Power) for Force Restart
Apple iPhone (iPhone 7 / 7 Plus)                       Volume Down + Power for Force Restart
Apple iPhone (iPhone 6s / SE 1st Gen / older)         Home + Power for Force Restart
